age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y;predicted_label;prediction_probability;true_label;correct_prediction
30;blue-collar;married;basic.9y;no;yes;no;cellular;may;fri;487;2;999;0;nonexistent;-1.8;92.893;-46.2;1.313;5099.1;no;no;0.2509244;no;True
39;services;single;high.school;no;no;no;telephone;may;fri;346;4;999;0;nonexistent;1.1;93.994;-36.4;4.855;5191.0;no;no;0.09804797;no;True
25;services;married;high.school;no;yes;no;telephone;jun;wed;227;1;999;0;nonexistent;1.4;94.465;-41.8;4.962;5228.1;no;no;0.07934913;no;True
38;services;married;basic.9y;no;unknown;unknown;telephone;jun;fri;17;3;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1;no;no;0.05405135;no;True
47;admin.;married;university.degree;no;yes;no;cellular;nov;mon;58;1;999;0;nonexistent;-0.1;93.2;-42.0;4.191;5195.8;no;no;0.09563005;no;True
32;services;single;university.degree;no;no;no;cellular;sep;thu;128;3;999;2;failure;-1.1;94.199;-37.5;0.884;4963.6;no;no;0.22250119;no;True
32;admin.;single;university.degree;no;yes;no;cellular;sep;mon;290;4;999;0;nonexistent;-1.1;94.199;-37.5;0.879;4963.6;no;no;0.37293667;no;True
41;entrepreneur;married;university.degree;unknown;yes;no;cellular;nov;mon;44;2;999;0;nonexistent;-0.1;93.2;-42.0;4.191;5195.8;no;no;0.059054412;no;True
31;services;divorced;professional.course;no;no;no;cellular;nov;tue;68;1;999;1;failure;-0.1;93.2;-42.0;4.153;5195.8;no;no;0.06988831;no;True
35;blue-collar;married;basic.9y;unknown;no;no;telephone;may;thu;170;1;999;0;nonexistent;1.1;93.994;-36.4;4.855;5191.0;no;no;0.052307863;no;True
25;services;single;basic.6y;unknown;yes;no;cellular;jul;thu;301;1;999;0;nonexistent;1.4;93.918;-42.7;4.958;5228.1;no;no;0.08007006;no;True
36;self-employed;single;basic.4y;no;no;no;cellular;jul;thu;148;1;999;0;nonexistent;1.4;93.918;-42.7;4.968;5228.1;no;no;0.052325353;no;True
36;admin.;married;high.school;no;no;no;telephone;may;wed;97;2;999;0;nonexistent;1.1;93.994;-36.4;4.859;5191.0;no;no;0.064469226;no;True
47;blue-collar;married;basic.4y;no;yes;no;telephone;jun;thu;211;2;999;0;nonexistent;1.4;94.465;-41.8;4.958;5228.1;no;no;0.073848374;no;True
29;admin.;single;high.school;no;no;no;cellular;may;fri;553;2;999;0;nonexistent;-1.8;92.893;-46.2;1.313;5099.1;no;no;0.3466802;no;True
